xloc (m),yloc (m),t (seconds),mass (grams),vX (Km/s),vY (Km/s),vZ (Km/s),
434.724020190264,572.847302721400,96361.527710403127,0.000005544162,-13.448444190020,18.306885173546,-6.064863963174,
523.147591559218,972.762369116135,74476.186639708700,0.000014457094,-0.440487584157,-0.519755019946,-0.351729313846,
726.462094696453,821.930493197031,126101.652988177491,0.000000033494,13.231463688986,-31.231453556901,-24.257260302230,
234.696379729720,578.107228534465,379207.106492215709,0.000013026191,25.474200758567,-31.231453556901,-10.702868981509,
490.197686273647,695.372762052388,39446.462822665628,0.000000037846,7.335605049683,-31.231453556901,-26.639729864962,
426.907912065298,291.745657581353,162368.794678327627,0.000000008914,15.507835551779,-31.231453556901,-22.869047755035,
672.029494629692,726.135094761054,14334.637080124583,0.000000012165,5.539947270919,-31.231453556901,-27.070191963829,
544.296502918616,38.968897462852,62692.634958056653,0.000000062831,8.968831367099,-31.231453556901,-26.135155875404,
140.522997306486,266.599526226514,338039.898327837698,0.000003659464,24.151005489218,-31.231453556901,-13.424427085833,
336.191321060229,875.605630606721,366414.374596899434,0.000000381335,25.095067763929,-31.231453556901,-11.563904299453,
336.276451375368,41.309326713463,388183.341246626806,0.000000031430,25.722619435209,-31.231453556901,-10.091241653756,
634.664249104345,368.270647955821,315506.534661876329,0.000003256387,23.302905150362,-31.231453556901,-14.847926463865,
849.549741104438,294.578131134689,324117.885204775375,0.000008042749,23.637081125890,-31.231453556901,-14.309951242796,
582.753505264024,119.225025017702,194571.959258515242,0.000005686175,17.408726088259,-31.231453556901,-21.457459418745,
864.939831435820,675.793954220645,396038.536703629594,0.000001502795,25.927971322532,-31.231453556901,-9.551262315584,
289.193596521006,712.355323680556,206912.651992218074,0.000000067048,18.104026519495,-31.231453556901,-20.874159444263,
881.488691223793,403.373558692678,4913.768645795961,0.000001517509,4.859477618515,-31.231453556901,-27.200584295163,
754.658528708119,513.460478661205,343073.444274107693,0.000000083744,24.328690192708,-31.231453556901,-13.099661912826,
184.948121805469,189.662141445020,95451.693606413770,0.000000260223,11.210720646214,-31.231453556901,-25.254822337836,
241.296274375642,50.137841242792,117301.207547524667,0.000003933987,12.659680329491,-31.231453556901,-24.560513078481,
657.334249043439,370.499525938491,130561.012057451066,0.000000038204,13.518445804567,-31.231453556901,-24.098504761750,
614.370887080557,161.183271400769,27863.312104857920,0.000002697626,6.510923072773,-31.231453556901,-26.853197006382,
165.214658104935,596.495601592488,252757.040537904773,0.000000044325,20.510242288293,-31.231453556901,-18.515298269233,
399.242599361960,904.846632881182,146233.972346842667,0.000000021619,14.511703339370,-31.231453556901,-23.513757141580,
629.316267199918,521.509367250910,32781.170828772883,0.000000037568,6.861859886892,-31.231453556901,-26.765671813272,
697.329391699328,334.631056051883,326190.792751898931,0.000000103390,23.715675483476,-31.231453556901,-14.179317511275,
410.175236912588,458.011227274974,250074.971609085682,0.000005023893,20.377542626122,-31.231453556901,-18.661245007869,
848.853899585646,96.008737121344,140825.983565966308,0.000000020494,14.171744247457,-31.231453556901,-23.720201805798,
682.802544176356,49.433967572456,395353.788848399476,0.000071610014,25.910520203583,-31.231453556901,-9.598502565653,
320.916685508526,926.103725382747,53838.386174087878,0.000000563405,8.350461403314,-31.231453556901,-26.339250237524,
762.499068164533,393.905952554821,69726.975975621084,0.000006628910,9.456567177603,-31.231453556901,-25.962658683937,
12.829447470410,633.018781158511,198463.689079226402,0.000000007712,17.630057705663,-31.231453556901,-21.275981152889,
53.612203235052,406.063833925857,106062.868640987770,0.000000972729,11.919445792421,-31.231453556901,-24.928159192461,
270.710186712020,480.629767904776,63910.660786000582,0.000000042811,9.053514750338,-31.231453556901,-26.105941457617,
765.237539929385,913.980006539730,115243.566060318713,0.000001352182,12.524977543008,-31.231453556901,-24.629479212323,
742.218260916867,869.714329214905,272377.176166073128,0.000000011590,21.448763782859,-31.231453556901,-17.419438593429,
837.021628697666,326.273626408301,374303.652675509686,0.000016291261,25.332346373417,-31.231453556901,-11.034425038956,
902.419423690996,544.101018688119,66017.469118860434,0.000000160861,9.199765680425,-31.231453556901,-26.054761947644,
622.574109024580,930.436383019543,197187.473469257704,0.000000101217,17.557683695339,-31.231453556901,-21.335745873476,
177.465036586185,584.733257039870,230218.580539220187,0.000007220471,19.363268587542,-31.231453556901,-19.711675178174,
420.658693611365,633.988721235189,239074.661564250157,0.000000030846,19.822494284196,-31.231453556901,-19.249805949051,
357.795570263075,1.139423689525,383351.080786987673,0.000015903889,25.590701568621,-31.231453556901,-10.421242821704,
431.631521241353,978.393867583092,289347.162639632064,0.000000027059,22.213438386448,-31.231453556901,-16.433181790956,
469.947785334150,314.698236220635,35073.505199091065,0.000000010509,7.025042034745,-31.231453556901,-26.723306178936,
918.217141378796,677.204357288124,37356.346731407953,0.000000037721,7.187288525908,-31.231453556901,-26.680127292958,
918.605981213139,457.610149918168,362894.661414525181,0.000000220211,24.985632594117,-31.231453556901,-11.798494505440,
353.697001893409,509.950872364999,97471.872392944235,0.000000155270,11.346355853234,-31.231453556901,-25.194176263075,
157.688990111093,529.821000847888,273286.144412232039,0.000008036890,21.490845562476,-31.231453556901,-17.367494515125,
988.958377214850,249.222341417305,22676.207057384301,0.000000202531,6.139565236934,-31.231453556901,-26.940527972268,
728.916969761187,128.330693342713,171836.268834410061,0.000000120035,16.079141145027,-31.231453556901,-22.471037554181,
421.910569459460,172.002738037017,67654.597818767259,0.000000012850,9.313212767276,-31.231453556901,-26.014426318383,
