xloc (m),yloc (m),t (seconds),mass (grams),vX (Km/s),vY (Km/s),vZ (Km/s),
90274.161936990975,182560.729059495672,11.438153043795,0.000000414968,-23.630600036656,-19.077093512395,-19.330267588083,
143881.106714579742,68704.755368315135,33.386105145287,0.000000067862,-23.629470744251,-19.077093512395,-19.331648027675,
135909.190340461617,150017.996697708586,53.604029567348,0.000000080895,-23.628430395962,-19.077093512395,-19.332919596960,
88935.054022373399,164169.673142885498,62.928774771539,4.908858611663,-23.627950552015,-19.077093512395,-19.333506040831,
189157.961437683698,103493.477379513526,66.144228159530,93.194095329341,-23.627785083958,-19.077093512395,-19.333708261625,
186024.094727346092,41641.702715039639,71.138327437708,0.000021023336,-23.627528082921,-19.077093512395,-19.334022339133,
186396.285898531554,35376.885801595483,73.518341382557,0.000001546941,-23.627405603697,-19.077093512395,-19.334172016347,
60446.185654887173,60080.496384799488,83.596311347885,0.007358136381,-7.964413475408,8.875063327019,-16.129892924714,
162170.756919775216,50571.934539174166,87.788345870555,0.000000038955,-23.626671227144,-19.077093512395,-19.335069429504,
3787.573495647334,36868.126230504284,96.266553129115,0.000000020206,-23.626234897447,-19.077093512395,-19.335602594436,
19052.553673622464,88336.522468817595,104.676551154460,0.000000181686,6.379229118746,-14.127080327361,-7.261236826753,
83763.018924906792,11166.438750999896,111.082751563152,0.000000270525,-23.625472355067,-19.077093512395,-19.336534309935,
36238.375809926038,19452.734510598744,112.733302141587,46.047226808881,-23.625387404215,-19.077093512395,-19.336638102837,
75736.738959201830,126604.326135181866,113.604633206681,0.000000717825,11.945059379329,-0.860348573307,-14.785187029401,
9764.396669442622,162407.948224950407,117.330452209597,2.388108140804,-23.625150794865,-19.077093512395,-19.336927187101,
180825.414879705117,16290.468728834439,120.029608190056,0.000000458353,-23.625011871150,-19.077093512395,-19.337096917774,
34495.664800273065,187719.580145440908,124.135031574492,1.889727043999,-23.624800565488,-19.077093512395,-19.337355076645,
27456.614575998039,132145.083554024575,138.562881237169,0.000000016335,-23.624057943338,-19.077093512395,-19.338262316174,
91872.771564831244,110754.891882951357,148.437572128276,0.000219709004,-23.623549658738,-19.077093512395,-19.338883231470,
26059.104266471579,104799.454777905514,165.204411219739,0.114845048556,-23.622686573972,-19.077093512395,-19.339937490778,
13248.658360130183,66698.738492539400,179.660061739913,19.133810436838,-23.621942421469,-19.077093512395,-19.340846397098,
129132.789470154254,30693.881559972524,187.855209647973,0.000024104255,-23.621520533550,-19.077093512395,-19.341361658436,
27029.251281494580,110067.838248500106,193.818052217862,0.000000025848,-23.621213558119,-19.077093512395,-19.341736560120,
189790.971974253451,21288.566432460222,208.711169882698,0.000000038504,-23.620446813699,-19.077093512395,-19.342672913549,
197954.212284039590,14103.298216578742,216.085161294847,1.285868091291,-23.620067163744,-19.077093512395,-19.343136516592,
54326.565212919406,21350.132332745343,217.848330223108,0.000000056393,-23.619976385649,-19.077093512395,-19.343247365959,
194065.883759261400,167993.328743441321,224.339926870427,0.000011193793,-23.619642156357,-19.077093512395,-19.343655485067,
153252.147636215319,26990.184859781086,233.714439431803,0.000043511033,5.318431048259,-0.548762042932,-15.279345596047,
104917.716103795188,100447.986083234748,236.420993610989,0.000000611654,-23.619020126273,-19.077093512395,-19.344414992293,
38536.924631364309,161739.417752854410,240.023825128883,0.000047539329,-23.618834618918,-19.077093512395,-19.344641489662,
184651.380977284716,10872.109973989463,244.593307638698,0.015684559762,-23.618599336236,-19.077093512395,-19.344928754423,
166483.791284814390,114105.191474637715,253.829209884343,0.000160177912,-5.267256179420,-7.418371025793,-12.629141535312,
9433.606214971956,11171.561833701227,257.443184234354,0.005965206109,-9.282420426074,9.078392896619,-14.082898396582,
29562.231072747978,97106.781280190058,258.605669914319,0.000072552454,-23.617877817844,-19.077093512395,-19.345809636733,
