xloc (m),yloc (m),t (seconds),mass (grams),vX (Km/s),vY (Km/s),vZ (Km/s),
48.244426759964,7.880654083877,306086139.656027793884,0.000018185673,24.972370928735,-0.798843236785,-16.917092313256,
39.610366477978,47.974621319645,206794386.886021226645,0.000518284849,-4.103719162973,3.085859705558,-3.194715272809,
19.611350976708,32.773894508878,53985433.868254117668,0.000000271346,20.328726707716,-46.189870484786,-10.573124765666,
47.511102441918,1.722304025145,138362421.261241763830,0.000000829668,-6.856677534864,15.370983455189,-17.814947030364,
32.315650505563,35.468241542904,237997992.029957324266,0.000075414115,-15.877089500008,12.738727378773,-17.971168738930,
29.263387548989,11.190596974557,236919579.822630673647,0.000000012885,-1.126777169432,0.027407660023,-1.244697972510,
25.662476993353,20.090401687597,2499.757757582236,0.000003455164,36.305799811818,18.724309744191,-3.505584776869,
45.135805495764,47.239359486082,9229.909342143685,0.000595060782,36.565176210912,18.301275586966,-3.008521323649,
45.002692320883,18.462339056011,2575.493822379503,0.000076437622,36.308783611779,18.719566112351,-3.500011028312,
12.084564295692,20.195607279406,2168.907277138438,0.000000186026,36.292747882374,18.745027567247,-3.529928136608,
2.988977147358,11.738995668620,7638.357052735984,0.000000013527,36.504894889350,18.401585875551,-3.126385514012,
2.151190082890,8.449501473135,7671.687673391774,0.000000096200,36.506164033181,18.399486856233,-3.123919174657,
22.546185321547,27.350444614317,4226.515659206547,0.000000425778,36.373462605108,18.616059940726,-3.378391688080,
34.338771668266,9.175557786863,4969.218154389411,0.000000339459,36.402329079108,18.569438428987,-3.323611597102,
4.056288443289,46.469298548436,7936.482577897608,0.000003209821,36.516236528991,18.382808619408,-3.104322312682,
22.339187471490,15.317473600828,6775.319033857435,0.000081573106,36.471932626590,18.455910844562,-3.190217136664,
39.741570844173,32.215906509685,6610.404477592558,0.000043879718,36.465612089746,18.466285997948,-3.202407900652,
17.536355178844,46.950078099994,7781.371145486832,0.000000111975,36.510338467590,18.392578947225,-3.115802409031,
29.352235226571,10.387114636651,4720.231882410124,0.000016838197,36.392667623813,18.585072113291,-3.341981114017,
42.215439634769,9.738214478352,4884.082480368204,0.000125064965,36.399027344105,18.574784508812,-3.329893219647,
9.240816006207,45.244048433995,10974.819899532944,0.000000021203,36.630511985484,18.191110536379,-2.879077827104,
12.903234795603,20.435992305628,7937.334739468992,0.000310378587,36.516268914968,18.382754938164,-3.104259237433,
5.870882542790,14.833793660916,5901.924119048752,0.000000614278,36.438378864116,18.510837631779,-3.254755893315,
46.442706973902,36.516543142773,5596.945431580767,0.000000132589,36.426615909179,18.530005457052,-3.277278011821,
22.942441408997,48.154426964346,8425.627587908879,0.000008805035,36.534795339632,18.351987498266,-3.068107617851,
24.444887196008,31.203004408684,8719.854683313519,0.000033866439,36.545928878543,18.333440658571,-3.046315154931,
44.258400410124,45.664341381962,9220.716881692410,0.000000008866,36.564829922097,18.301855431774,-3.009202638993,
35.751853920035,45.186028027816,9618.771484788507,0.000067182980,36.579804969536,18.276741798009,-2.979694219143,
23.996107057303,45.236111903368,5349.913795145229,0.000000343116,36.417070362059,18.545526785714,-3.295515511302,
40.274471226484,28.836075780734,3298.887021115981,0.000003785454,36.337209014944,18.674237689710,-3.446750311885,
23.554418727097,2.980943378982,5946.198209919035,0.000000598045,36.440084509487,18.508054503350,-3.251485728474,
40.907427692981,40.877354603964,8746.807023212314,0.000033438656,36.546947633216,18.331741413897,-3.044318549193,
32.449574635618,40.016528767620,7346.598287712783,0.000036069497,36.493773206259,18.419956472091,-3.147970891925,
3.023558958495,19.962888530679,8566.054092822596,0.000000082062,36.540111867267,18.343136306425,-3.057707502620,
21.582558512436,0.774356281801,9114.949277963489,0.000003058033,36.560843980080,18.308526677489,-3.017041326191,
47.581523238886,46.016601991828,2975.391696391627,0.000075566683,36.324514060233,18.694512561502,-3.470573205651,
21.141780750440,27.393545060742,8190.734543561935,0.000000382315,36.525890913064,18.366790108590,-3.085500626143,
34.905276009015,33.326395670129,3774.630140524358,0.000001423505,36.355829697447,18.644407927841,-3.411700460259,
33.458765226720,9.521663358998,6958.917212064378,0.000013031622,36.478960967591,18.444358147603,-3.176642763658,
9.546184761815,21.412649648969,4647.644786478952,0.000002176068,36.389848005456,18.589629027729,-3.347335470369,
14.522033213849,30.854544219661,4282.759881520644,0.000007974659,36.375653614498,18.612530628925,-3.374244760743,
36.512439613380,17.193850205749,8337.960192639381,0.000000091520,36.531473676503,18.357512589130,-3.074599577655,
13.036399952773,29.717812533217,1046.750362851366,0.000000039634,36.248269647872,18.815241281024,-3.612428971204,
34.797465665080,34.994392496415,7888.080018568784,0.000005680932,36.514396705586,18.385857621914,-3.107904878507,
40.999061139097,35.917947160294,9632.134947892278,0.000001795615,36.580306998533,18.275898506415,-2.978703354872,
5.281460166451,30.547932937310,9576.092329852283,0.000026378004,36.578201319732,18.279434957443,-2.982858670773,
43.768579930209,25.902605418055,8417.528844907880,0.000029213924,36.534488566697,18.352497929031,-3.068707371971,
12.035351774008,33.806115193188,5754.752910799347,0.000002507778,36.432705503142,18.520088073732,-3.265625125841,
3.399638423501,12.739507829850,4914.967732436024,0.000001281096,36.400225353194,18.572845130836,-3.327614458234,
17.223120565052,39.025982636568,8673.104884875938,0.000001382987,36.544161366036,18.336387946946,-3.049778207057,
39.236964738037,23.567857685531,1325.458421129384,0.000000220030,36.259346825458,18.797810471249,-3.591947839004,
17.056230352455,30.369460688417,4934.574645304121,0.000116612341,36.400985758752,18.571613920616,-3.326167791119,
