xloc (m),yloc (m),t (seconds),mass (grams),vX (Km/s),vY (Km/s),vZ (Km/s),
217.050715906518,28.672284594388,117108070.109500959516,0.099197524402,16.053423333073,-5.238582202157,-4.909268151354,
386.860745388930,1178.256495291375,130898717.813192456961,195.437102457117,11.841897506316,-4.881153118239,-7.950427561182,
925.763658046656,1845.914598865198,9905745.495440529659,0.000000265032,-14.585908059594,13.492410715819,-5.080085589698,
499.724733544661,1168.986372696747,97174777.319241374731,0.000002646535,8.739248110174,-12.700115016503,-12.420496314612,
1195.143353896753,1275.587084886594,43548515.073696851730,0.000000014102,-6.027175390765,3.395274773780,-17.886511171951,
400.415941876565,1324.830602714599,104224630.484720274806,0.000001514928,2.762766527500,5.281379597163,-15.144167298935,
243.492834463470,1310.007419371012,142973719.545985668898,0.000000072560,-4.635557656658,9.968498985940,-12.110775987132,
1104.347528417201,964.939054547968,26345440.336587987840,0.000684165664,-12.208280089950,8.422448415479,-8.555007647724,
310.359824072808,1836.401763969504,42685457.003581762314,0.000000267387,-13.212964657768,11.559369519018,-6.629385275825,
518.508000112618,739.885810776172,117653091.907005220652,0.000000274575,-6.459341546060,-10.405494271333,-9.908679452276,
718.182891539992,953.178016044393,135193180.502815276384,0.000193916391,1.244361634161,-1.995927582472,-18.816706971833,
1249.701239843726,508.168619185752,92862619.292571589351,1.130440036936,-11.065619301451,9.971757433921,-3.167167898535,
3.071634640119,431.990168440644,143361343.447124361992,0.000086408297,-8.632520778754,7.933369883702,-13.338104140123,
379.621249624683,37.395905475922,63883267.608425863087,3257.145039556258,1.371262439633,-3.295543603126,-12.458593680998,
267.276099329757,747.317192721424,89726621.893924221396,0.000000566631,7.208339988085,12.499356243174,-1.676323650857,
1686.933193729767,1801.853221871329,75147306.334331899881,0.000000753235,4.761526230032,-10.457559040099,-8.421807196162,
151.833423152364,934.008142555362,111449612.031509414315,0.000000410233,7.529196018197,-6.699745605015,-14.448856493625,
1078.171192188799,1841.312522788365,57196062.788370132446,0.000005296872,-15.239214115708,-1.204214036461,-0.317853944204,
1425.030877520579,771.931748474553,29014663.282901626080,0.000000450716,1.578914377894,9.258104986627,-17.084492372475,
310.301288555320,737.771437313861,147106142.473621994257,0.009672301226,0.377628597769,8.401572749888,-14.522237858976,
1651.812881094099,36.190422252746,48896217.138735920191,0.000012178991,6.085103626577,-5.981562913101,-12.768285677870,
695.279664279476,485.663891316360,5550882.646378137171,2.510970862638,-5.928180264851,-2.332007634006,-15.863189876672,
1893.898342663277,84.614552402677,17211913.656020045280,0.000004408296,-7.406501478095,2.522578417856,-19.754199130125,
277.629305231482,425.885759739423,22841363.851547963917,0.000247409276,-4.511851718826,12.972816816707,-5.588690360437,
1658.087063407454,168.949014977337,73927912.606798589230,0.000098502764,6.497876343914,7.368971470017,-11.568785329250,
1533.519609349054,659.437496574638,16592861.707430915907,0.003733238562,10.292959408422,10.080134146910,-1.497464522072,
1401.558426496569,732.063390446547,41021636.378627277911,0.005751792330,2.248412457186,-15.818926388659,-7.585211523322,
1030.366235166395,1046.392736828512,122979865.486558482051,0.000040028475,5.402336676303,5.361447231351,-15.132134072687,
601.960354424309,514.613589359963,21337072.941945906729,0.000002900768,-11.225799127772,6.089235821257,-8.917048799417,
396.476513786042,1079.746305665848,132336806.234262272716,0.014749460541,-6.773513573937,-5.168798547664,-15.428946892848,
623.116535676010,953.591993390165,135616664.843599617481,0.000656598532,-10.558399871323,-12.012559286107,-6.184138843713,
815.862421158835,1421.724194397740,39714347.793965406716,0.000000464474,-4.451762742173,11.984076253553,-7.797895984467,
632.576391920971,1110.819023834692,87503598.098285764456,0.000067328636,3.844969999096,6.035898769983,-17.570532130790,
615.184162688822,1955.179697943287,110769960.728329002857,0.000000028656,4.615369306299,-7.120237419521,-11.693764199228,
1896.070158808132,1742.082870668321,54400340.493497647345,0.004762225261,2.707282918971,5.098513376824,-17.269514569275,
501.754616246875,319.844525491981,60947019.557411462069,3.582543427697,-9.111593054672,0.567952778455,-13.568461907403,
212.328861361341,44.854163057151,6273997.379667964764,0.000002571146,0.067439329902,16.950903355140,-4.637114909846,
51.100723142470,313.864668556429,44821889.954506769776,0.000766221168,-2.973448019525,16.541759430498,-6.542693748724,
1486.183268556638,1662.593471970040,51047027.107301108539,0.000003096034,4.543505484048,-14.586882584414,-0.747158469989,
1106.446159675055,526.252638121657,102013263.302966639400,0.000782010296,1.236034305541,1.330376991271,-21.511388373270,
531.489713711669,588.818210603822,132559476.041966482997,0.020890875177,-7.146185803569,13.733794715003,-0.119961001688,
1851.830382918140,632.747457086563,79753648.510571777821,0.005926168918,0.590099672995,15.646828151827,-8.591253272892,
1164.619344076855,197.165368299946,138653512.890352994204,0.000000008638,-3.476550587077,3.797269023809,-17.804072341840,
1419.660683406827,1574.752258079540,58729004.095927216113,2.150191036293,-6.022980205049,-16.026620247858,-4.996128290940,
1697.992495974314,308.004175115555,82542132.283948659897,0.000013512492,-14.925686391523,-7.358163472390,-8.920525185560,
1602.876411716233,811.171557177479,3392114.953156679403,0.000000014220,-5.885164791665,-7.779422555240,-11.894448618727,
1937.734577274238,1077.357606969593,124754826.776855632663,0.000000142840,-4.117866413431,3.886230211138,-18.854866625941,
849.975176437698,1119.187217858236,150887747.508336424828,0.000004776411,-9.062186087675,-0.833710561516,-14.673098981129,
428.152585558514,96.210022706115,43330961.088710129261,0.000000977719,6.822916682641,-12.262254908977,-13.657126656214,
1524.576806156502,402.081948063240,70168007.404906108975,0.000000093766,-2.920463598837,-0.235871714810,-14.991479161844,
794.546365303228,521.931030244474,126259712.592901006341,0.000180934377,3.564027241379,12.089463704915,-2.074946913156,
147.221170895085,76.058484963995,4630452.820041860454,1.622095902869,4.787458781918,-3.633113915022,-17.022292802358,
60.020275079376,909.813521034021,95901479.717865750194,0.000000010801,14.365768724077,4.279307561444,-5.760633384598,
1077.050462761634,1323.536865675488,9355438.512449132279,0.000000315878,5.413934929095,-12.295481627165,-7.450864503623,
11.126144705939,1306.569583811626,101200113.721900492907,0.000000260352,7.783927879866,6.563648614294,-10.714546684514,
1396.442528316540,812.943803488865,98438615.642333000898,0.000000556018,10.364012459001,-8.354841252096,-12.009745110805,
110.273754827095,1883.078860562457,69028337.846192166209,0.000000027113,-11.508447491954,-16.077076544992,-1.134136155306,
159.950110686917,706.554561579410,71607204.241373971105,0.475050756706,-2.901280586025,-0.667044343129,-14.361011298677,
1739.096723885800,297.980189755170,39727583.280992813408,0.004585593213,-4.798082297555,15.716257009305,-7.264178184736,
1020.844051842225,1376.461852730559,105312739.614127352834,0.003472455625,-0.546270263007,0.733835407366,-15.005063223210,
626.641172126254,1451.430126365595,55783107.650089897215,0.000000028368,-8.164284005650,4.390365393413,-12.161092561994,
199.262016913713,303.038568299919,86229331.954534620047,0.000000052560,9.187996264784,-2.052326732411,-10.628737306036,
1602.919686503719,794.772645982590,4258840.167983602732,0.000001688288,17.845446977693,7.359353889569,-3.733910864727,
650.682656073991,1056.505789077035,125812011.259330958128,0.000147824215,6.661480633925,0.077084394443,-12.642862577795,
738.219964570722,1582.873985950919,80551112.157009929419,9.464261995019,5.998802036336,2.514715777156,-17.066832240492,
577.944929326461,537.915665328908,105127782.093376249075,0.000000009204,-16.375686531168,-9.735005525739,-7.758039513740,
1999.235600240162,1670.076957206296,127710056.865752875805,0.000000228467,-6.393003417210,4.090354533943,-11.640853808679,
803.306003813744,939.300667204873,149302795.212436437607,0.000000020701,8.528768071731,-7.113621362131,-13.612959456469,
825.383700429157,668.470305173760,19321531.313642822206,0.000001936696,-7.889016330006,10.539070437256,-4.927667109662,
321.238346068113,56.703754674252,65812560.713606283069,0.021891266319,0.224430767464,-2.673278582822,-17.113549075691,
610.822706971514,406.990336947301,88867383.371729120612,0.000000041894,-3.981029720726,-0.597446801531,-12.583751082696,
